email,group,promotional_email_subject,click
xaveriusikramullahx@yourteacher.net,treatment,personalization,0
setyawandarmawanvir@mystupidjob.com,control,generic,1
nengahip1@premium-mail.fr,control,generic,1
muchlisbp@graduate.org,treatment,personalization,0
ceudahvinatarl@mail2parker.com,treatment,personalization,0
roestamabdillah7@thrott.com,treatment,personalization,1
hawariahr@mail2brunei.com,treatment,personalization,1
farihahqd0@mailtag.com,treatment,personalization,0
mahmudmqy@whoever.com,treatment,personalization,1
tipahlatipadt@zoominternet.net,control,generic,0
kuatmansur6q@f1fans.net,control,generic,0
ratnan@imaginemail.com,treatment,personalization,0
ekac7v@mail2iceland.com,control,generic,0
aminahdianm@hey.to,treatment,personalization,0
kalsummasudahjb@email60.com,control,generic,1
effendyt7@wmail.cf,control,generic,0
faridah3@acninc.net,treatment,personalization,0
mukhlisnimatullah6ky@emails.ru,treatment,personalization,1
rizkasyahidah2@mailinator.com,treatment,personalization,0
adhitya4h@mail2sylvia.com,control,generic,0
bagoesfahmy@loobie.com,treatment,personalization,1
timotiusrizalwg@llandudno.com,treatment,personalization,0
izzatieka8@mail2larry.com,treatment,personalization,0
memoirws@kgb.hu,treatment,personalization,0
wahidahraya@outlook.co.th,treatment,personalization,1
marwilisnn@mailasia.com,control,generic,0
acengv0@ahaa.dk,treatment,personalization,0
hamengkubuwonoibrohimy0@mail2create.com,control,generic,0
hamidah32@mail.by,control,generic,0
afendi7@metta.lk,treatment,personalization,1
hafizatl@ijustdontcare.com,control,generic,0
agoengakhmat1@blackburnmail.com,control,generic,0
pitalokashwita5@mail2zurich.com,treatment,personalization,0
fauziyudoo8i@immo-gerance.info,treatment,personalization,0
aini2r_@albawaba.com,treatment,personalization,0
nurfaizahnuraisyahl@mail2safe.com,treatment,personalization,1
putueka7@index.ua,treatment,personalization,0
nimahzulaicha5@fromohio.com,treatment,personalization,0
putroekarimah_3@popsmail.com,control,generic,0
sherlymeilianifd@yandex.mail,control,generic,0
melurnorjannah@mail2trump.com,treatment,personalization,0
marzuki5l4@live.ru,treatment,personalization,0
budiononugrohod@dingbone.com,treatment,personalization,0
mahfudzahintenpj@postpro.net,control,generic,0
muslimnikodemusfx@mail2leon.com,treatment,personalization,0
khaerunisasopiahy87@idigjesus.com,treatment,personalization,0
dickybayu6sb@corporatedirtbag.com,control,generic,0
jelitamxt@dropzone.com,control,generic,0
fadiyahjunita_s@outlook.fr,treatment,personalization,1
abdrazakkr@edtnmail.com,treatment,personalization,0
hanafi9h@football.theboys.com,control,generic,0
jumadisofyan2@mail2human.com,treatment,personalization,1
muhamatzefanyaf@swedenmail.com,control,generic,0
zulkipliz5@thesimpsonsfans.com,treatment,personalization,0
ajikrisnaue2@moomia.com,control,generic,0
nenengxx@y7mail.com,treatment,personalization,0
shofiah8h@mail2joanna.com,treatment,personalization,1
mahfudsofyan@frommiami.com,treatment,personalization,0
mustapajxx@4email.com,control,generic,0
prasetyoguruhw7@virtualmail.com,treatment,personalization,0
memoirsuryana@mail2skater.com,control,generic,1
amsalsyahnazk9m@mail2shirley.com,control,generic,0
janurisaepuloht7@wegwerf-emails.de,control,generic,0
malikahbunga@greensloth.com,treatment,personalization,1
faridahcu@airforce.net,treatment,personalization,1
dhiendamarf@airforceemail.com,control,generic,0
sulaemansetyawan6@heavynoize.net,treatment,personalization,1
chadijahluthfiyaho9@agoodmail.com,control,generic,0
suwarnof@mail2japan.com,treatment,personalization,0
aziemg@poofy.org,treatment,personalization,0
